Item number,Name,Brand,Modul,Cost Value,januar,februar,marts,april,maj,juni,juli,august,september,oktober,november,december,Total
00-00068,"15"" TV Permaplay",Diverse,Stock,647.39143,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7.0
50003049,ASSORTED PUTTY WAVE 3 CDU,Slimy Originals,Stock,0.80577,7968.0,7968.0,7968.0,7968.0,7968.0,7968.0,7968,7968,7968,7968,7968,7968,7968.0
09-70901,BBQ Stufz,Diverse,Stock,27.18,1704.0,1704.0,1704.0,1704.0,1704.0,1704.0,1704,1704,1704,1704,1704,1704,1704.0
50-00524,Blinger Pink,Blinger,Invoiced OT,47.34238,70.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70.0
50-00525,BLINGER REFILL 5 PACK ASS.,Blinger,SalgsOrdre SE,23.39781,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12.0
50-00525,BLINGER REFILL 5 PACK ASS.,Blinger,Stock,23.39781,12.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,12.0
40-00596,BLUME S1 BABY POP,Blume,Forecast DK,47.34583,300.0,300.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,600.0
40-00596,BLUME S1 BABY POP,Blume,Invoiced DK,47.34583,600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,600.0
40-00596,BLUME S1 BABY POP,Blume,Invoiced OT,47.34583,102.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,102.0
40-00596,BLUME S1 BABY POP,Blume,SalgsOrdre SE,47.34583,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12.0
40-00596,BLUME S1 BABY POP,Blume,Stock,47.34583,2166.0,2166.0,2166.0,2166.0,2166.0,2166.0,2166,2166,2166,2166,2166,2166,2166.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre DK,32.82391,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0,0,0,0,12.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Stock,32.82391,0.0,0.0,0.0,-12.0,-12.0,-12.0,-12,-12,-12,-12,-12,-12,-12.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast DK,32.82391,0.0,0.0,0.0,10000.0,0.0,10000.0,0,0,0,0,0,0,20000.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast SE,32.82391,0.0,0.0,0.0,0.0,1500.0,480.0,0,0,0,0,0,0,1980.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast NO,32.82391,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,0,0,0,0,3000.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,Købsordre,31.21333,0.0,0.0,5004.0,10008.0,0.0,0.0,0,0,0,0,0,0,15012.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre SE,31.21333,0.0,0.0,0.0,0.0,1548.0,480.0,0,0,0,0,0,0,2028.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre NO,31.21333,0.0,0.0,2160.0,0.0,0.0,0.0,0,0,0,0,0,0,2160.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,Stock,31.21333,0.0,0.0,2844.0,12852.0,11304.0,10824.0,10824,10824,10824,10824,10824,10824,10824.0
00-10064,CHILLFACTOR COCA COLA FLAT PACKED POP UP FSDU,Chillfactor,SalgsOrdre NO,361.84286,0.0,0.0,25.0,0.0,0.0,0.0,0,0,0,0,0,0,25.0
00-10064,CHILLFACTOR COCA COLA FLAT PACKED POP UP FSDU,Chillfactor,Stock,361.84286,14.0,14.0,-11.0,-11.0,-11.0,-11.0,-11,-11,-11,-11,-11,-11,-11.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Købsordre,26.4,0.0,0.0,11508.0,5004.0,0.0,0.0,0,0,0,0,0,0,16512.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,SalgsOrdre DK,26.4,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0,0,0,0,12.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,SalgsOrdre SE,26.4,0.0,0.0,0.0,0.0,8916.0,0.0,0,0,0,0,0,0,8916.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Stock,26.4,0.0,0.0,11508.0,16500.0,7584.0,7584.0,7584,7584,7584,7584,7584,7584,7584.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Forecast SE,26.4,0.0,0.0,0.0,7200.0,9260.0,0.0,0,0,0,0,0,0,16460.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Købsordre,29.6,0.0,0.0,6000.0,0.0,0.0,0.0,0,0,0,0,0,0,6000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,SalgsOrdre NO,29.6,0.0,0.0,3600.0,0.0,0.0,0.0,0,0,0,0,0,0,3600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,SalgsOrdre FI,29.6,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,0,0,0,0,3000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Stock,29.6,0.0,0.0,-600.0,-600.0,-600.0,-600.0,-600,-600,-600,-600,-600,-600,-600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Forecast NO,29.6,0.0,0.0,3600.0,0.0,0.0,0.0,0,0,0,0,0,0,3600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Forecast FI,29.6,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,0,0,0,0,3000.0
06-30110,Chillfactor Neon Color Ass FSDU FLAT PACKED,Chillfactor,Købsordre,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0,0,0,0,100.0
06-30110,Chillfactor Neon Color Ass FSDU FLAT PACKED,Chillfactor,Stock,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,100.0
20-00248,Cocomelon - empty display,Cocomelon,Stock,260.82681,47.0,47.0,47.0,47.0,47.0,47.0,47,47,47,47,47,47,47.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Købsordre,54.173,0.0,0.0,1002.0,0.0,0.0,0.0,0,0,0,0,0,0,1002.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Invoiced OT,54.173,102.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,102.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,SalgsOrdre DK,54.173,0.0,0.0,0.0,0.0,0.0,0.0,12,12,0,0,0,0,24.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,SalgsOrdre SE,54.173,0.0,0.0,300.0,0.0,0.0,0.0,0,0,0,0,0,0,300.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Stock,54.173,1938.0,1938.0,2640.0,2640.0,2640.0,2640.0,2628,2616,2616,2616,2616,2616,2616.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast DK,54.173,600.0,0.0,200.0,500.0,0.0,200.0,0,0,0,0,0,0,1500.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast SE,54.173,0.0,0.0,451.0,573.0,260.0,244.0,0,0,0,0,0,0,1528.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast NO,54.173,0.0,0.0,100.0,0.0,200.0,200.0,0,0,0,0,0,0,500.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast OT,54.173,0.0,250.0,250.0,0.0,0.0,0.0,0,0,0,0,0,0,500.0
FOB-CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,COCOMELON FOB,Købsordre,58.8,1620.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1620.0
CMW0029SG,COCOMELON BATH SQUIRTERS 2 SHARKS & JJ SOLID,Cocomelon,SalgsOrdre DK,28.0,63.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,63.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Købsordre,25.35756,0.0,0.0,504.0,0.0,0.0,2007.0,0,0,0,0,0,0,2511.0
