Item number,Name,Brand,Modul,Cost Value,november,december,januar,februar,marts,april,maj,juni,juli,august,september,oktober,Total
20-00292,TOM AND JERRY 1/4 FSDU PREPACKED,Tom & Jerry,Forecast DK,2480.0,0,0,0.0,60.0,0,0.0,0,0.0,0,0,0,0,60.0
1234,FUNKO PLASTIKPOSER - COMIC CON,Funko!,Stock,0.0,22,22,22.0,22.0,22,22.0,22,22.0,22,22,22,22,22.0
22-00118,Kindi Kids - POS 1/4 Pallet Wrap Flat Packed,Kindi Kids,Stock,98.34471,17,17,17.0,17.0,17,17.0,17,17.0,17,17,17,17,17.0
70-00720,Skruttenring,Diverse,SalgsOrdre SE,72.91075,0,0,0.0,0.0,0,5004.0,0,0.0,0,0,0,0,5004.0
70-00720,Skruttenring,Diverse,Stock,72.91075,0,0,0.0,0.0,0,-5004.0,-5004,-5004.0,-5004,-5004,-5004,-5004,-5004.0
95074-12,Pokemon Clip 'N Go - Charmander,Pokémon,Invoiced DK,27.215,36,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,36.0
95074-12,Pokemon Clip 'N Go - Charmander,Pokémon,Forecast DK,27.215,0,48,0.0,0.0,0,0.0,0,0.0,0,0,0,0,48.0
95132-8,Pokemon feature figure Charizard,Pokémon,Købsordre,31.03026,0,0,0.0,500.0,0,0.0,0,0.0,0,0,0,0,500.0
95132-8,Pokemon feature figure Charizard,Pokémon,Invoiced OT,31.03026,500,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,500.0
95132-8,Pokemon feature figure Charizard,Pokémon,SalgsOrdre OT,31.03026,500,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,848.0
95132-8,Pokemon feature figure Charizard,Pokémon,Stock,31.03026,0,0,-116.0,268.0,152,152.0,152,152.0,152,152,152,152,152.0
95132-8,Pokemon feature figure Charizard,Pokémon,Forecast OT,31.03026,0,0,116.0,116.0,116,0.0,0,0.0,0,0,0,0,348.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,Købsordre,53.70563,0,0,1002.0,0.0,0,0.0,0,0.0,0,0,0,0,1002.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,SalgsOrdre OT,53.70563,0,0,334.0,334.0,334,0.0,0,0.0,0,0,0,0,1002.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,Stock,53.70563,0,0,668.0,334.0,0,0.0,0,0.0,0,0,0,0,0.0
95252,Pokemon Plush 30cm - Snorlax SYMBIZON,Pokémon,Forecast OT,53.70563,0,0,334.0,334.0,334,0.0,0,0.0,0,0,0,0,1002.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,Købsordre,51.7814,0,0,402.0,0.0,0,0.0,0,0.0,0,0,0,0,402.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,SalgsOrdre OT,51.7814,0,0,136.0,136.0,136,0.0,0,0.0,0,0,0,0,408.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,Stock,51.7814,0,0,266.0,130.0,-6,-6.0,-6,-6.0,-6,-6,-6,-6,-6.0
95261-PG,Pokemon Plush 30cm - Gengar SYMBIZON,Pokémon,Forecast OT,51.7814,0,0,136.0,136.0,136,0.0,0,0.0,0,0,0,0,408.0
97666-8,Pokemon - Blastoise SYMBIZON,Pokémon,Købsordre,34.04279,0,0,0.0,1000.0,0,0.0,0,0.0,0,0,0,0,1000.0
